time,open,high,low,close
2014-01-01T00:00:00Z,732,757.99,729.01,744.99
2014-01-01T04:00:00Z,744.98,749.99,741.02,746.89
2014-01-01T08:00:00Z,746.85,750.06,735.2,740
2014-01-01T12:00:00Z,740,748,738,743.35
2014-01-01T16:00:00Z,742.09,747.87,741,745.2
2014-01-01T20:00:00Z,747.86,754.98,745.02,754.22
2014-01-02T00:00:00Z,751.88,754.9,746.1,746.1
2014-01-02T04:00:00Z,746.1,749.79,742.5,746.3
2014-01-02T08:00:00Z,746.3,759.9,744,758.5
2014-01-02T12:00:00Z,758.9,758.98,748.98,751.62
2014-01-02T16:00:00Z,751.67,775,751.67,770
2014-01-02T20:00:00Z,769.97,798.7,769.01,785.81
2014-01-03T00:00:00Z,784.19,786.99,767.62,777
2014-01-03T04:00:00Z,777,784.66,773,784
2014-01-03T08:00:00Z,784,818.99,783.64,804.99
2014-01-03T12:00:00Z,804.99,818.5,800.02,810.01
2014-01-03T16:00:00Z,811,812.99,790.05,798.99
2014-01-03T20:00:00Z,796.01,809.99,791.78,809.4
2014-01-04T00:00:00Z,808.24,809.25,790.2,795.2
2014-01-04T04:00:00Z,795.2,813.94,791,813.5
2014-01-04T08:00:00Z,813.5,813.95,804,809.32
2014-01-04T12:00:00Z,809.32,813.99,800,811.62
2014-01-04T16:00:00Z,811.58,830,810,821.68
2014-01-04T20:00:00Z,821.68,829,817.8,828.79
2014-01-05T00:00:00Z,828.79,840,826.07,838.69
2014-01-05T04:00:00Z,838.7,841.88,833,835.6
2014-01-05T08:00:00Z,836.85,841.9,836.85,839.99
2014-01-05T12:00:00Z,839.99,906.28,839.49,870
2014-01-05T16:00:00Z,869,948,867,911.2
2014-01-05T20:00:00Z,911.2,930,890,903.43
2014-01-06T00:00:00Z,905,947,903,944
2014-01-06T04:00:00Z,945.9,976.5,932.94,968.18
2014-01-06T08:00:00Z,968.33,995,956.01,968.02
2014-01-06T12:00:00Z,970.5,973.95,876,876
2014-01-06T16:00:00Z,876.01,941.23,876.01,930
2014-01-06T20:00:00Z,929.53,944.5,904.54,919.2
2014-01-07T00:00:00Z,915.8,943,912.44,928.11
2014-01-07T04:00:00Z,928.11,935.04,902.01,917
2014-01-07T08:00:00Z,917,918.62,885.27,894.06
2014-01-07T12:00:00Z,894.06,898.99,817.72,891.1
2014-01-07T16:00:00Z,896,897,824,844.61
2014-01-07T20:00:00Z,843.8,864.98,788.47,788.47
2014-01-08T00:00:00Z,785,842.98,765,828
2014-01-08T04:00:00Z,827,829,787.26,807
2014-01-08T08:00:00Z,807.11,849.79,798.92,838.99
2014-01-08T12:00:00Z,838.99,844.46,780,795
2014-01-08T16:00:00Z,792.86,832.49,791.56,809.51
2014-01-08T20:00:00Z,809.51,824.26,807.01,823.45
2014-01-09T00:00:00Z,823.94,840,813.1,819.7
2014-01-09T04:00:00Z,819.7,842,816.71,837.81
2014-01-09T08:00:00Z,837.9,848,800,817
2014-01-09T12:00:00Z,817.02,825,780.84,807
2014-01-09T16:00:00Z,806.46,820.06,779.78,817
2014-01-09T20:00:00Z,817,843.89,814.75,826.54
2014-01-10T00:00:00Z,825.5,835,799.41,815
2014-01-10T04:00:00Z,814.29,823.33,800.1,815.53
2014-01-10T08:00:00Z,813.56,828.28,813.56,820
2014-01-10T12:00:00Z,820,828.28,814.52,825.05
2014-01-10T16:00:00Z,825.05,836.76,820.51,833
2014-01-10T20:00:00Z,833,861.4,825.1,852.61
2014-01-11T00:00:00Z,851.63,878.8,849.51,867.05
2014-01-11T04:00:00Z,867.05,871.9,851.1,860.81
2014-01-11T08:00:00Z,860.81,909.96,860.02,901
2014-01-11T12:00:00Z,901.5,903.02,879.75,892.99
2014-01-11T16:00:00Z,893,907.7,875,885.9
2014-01-11T20:00:00Z,885.9,896,875,895
2014-01-12T00:00:00Z,895,905,880.49,883
2014-01-12T04:00:00Z,883.1,887.79,865.67,875
2014-01-12T08:00:00Z,875.95,880,840.02,854.78
2014-01-12T12:00:00Z,853.29,864.99,826.46,862.1
2014-01-12T16:00:00Z,864.66,868.01,841.71,856.7
2014-01-12T20:00:00Z,856.95,859.62,841.52,844.05
2014-01-13T00:00:00Z,844.04,844.05,823,842.25
2014-01-13T04:00:00Z,842.25,842.25,811.07,816.6
2014-01-13T08:00:00Z,816.5,828.28,810,813.23
2014-01-13T12:00:00Z,813.24,823.89,783.11,813.89
2014-01-13T16:00:00Z,815.12,819.9,799.25,804.04
2014-01-13T20:00:00Z,804.04,832.77,804.04,823
2014-01-14T00:00:00Z,823.99,828,812,827.11
2014-01-14T04:00:00Z,827.74,834.99,819.22,831.47
2014-01-14T08:00:00Z,831.47,837,815.31,821
2014-01-14T12:00:00Z,821,825,800,822.6
2014-01-14T16:00:00Z,822.6,829.89,810.31,821
2014-01-14T20:00:00Z,821,825.01,804.24,815.99
2014-01-15T00:00:00Z,815.99,822,805.18,819.5
2014-01-15T04:00:00Z,819.09,840,817.01,832.51
2014-01-15T08:00:00Z,833.51,849.53,833,835.32
2014-01-15T12:00:00Z,835.32,850.26,822.05,842
2014-01-15T16:00:00Z,842,849.26,837,844.4
2014-01-15T20:00:00Z,844.4,846.99,835.66,841.14
2014-01-16T00:00:00Z,841.14,849,836.32,842
2014-01-16T04:00:00Z,841.99,848,834,844.72
2014-01-16T08:00:00Z,844.72,848,829.99,837.13
2014-01-16T12:00:00Z,837,837.9,817.12,829.36
2014-01-16T16:00:00Z,829.37,834.29,820,823.29
2014-01-16T20:00:00Z,823.29,825,810.01,814.4
2014-01-17T00:00:00Z,814.4,819.99,807,813.6
2014-01-17T04:00:00Z,811.23,821,798.02,814
2014-01-17T08:00:00Z,813.52,819.52,793,806
2014-01-17T12:00:00Z,807.5,807.93,781,796.99
2014-01-17T16:00:00Z,792.64,799.95,765,777.59
2014-01-17T20:00:00Z,780,806,773,794.48
2014-01-18T00:00:00Z,796.97,812.49,796,800.3
2014-01-18T04:00:00Z,800.3,812.5,800.27,807.97
2014-01-18T08:00:00Z,807.54,817,802.51,815.22
2014-01-18T12:00:00Z,815.22,817.12,799,799.3
2014-01-18T16:00:00Z,799.3,814.98,796.16,805.13
2014-01-18T20:00:00Z,807.57,811.83,803.1,811.83
2014-01-19T00:00:00Z,810,815,795,802.73
2014-01-19T04:00:00Z,802.73,804.75,791.01,804.73
2014-01-19T08:00:00Z,804.73,809.39,801,806.57
2014-01-19T12:00:00Z,807.78,840,806.2,832
2014-01-19T16:00:00Z,832,835,820.09,825.24
2014-01-19T20:00:00Z,823.71,841.62,823.71,841.13
2014-01-20T00:00:00Z,841.5,845,826.01,841.1
2014-01-20T04:00:00Z,841.11,845,827,837.45
2014-01-20T08:00:00Z,837.5,839.74,831.51,835
2014-01-20T12:00:00Z,835,835,815,821.97
2014-01-20T16:00:00Z,821.81,831.85,820,829.5
2014-01-20T20:00:00Z,829.5,837.16,825.2,826.01
2014-01-21T00:00:00Z,826.02,834.5,820,827
2014-01-21T04:00:00Z,826.75,827.88,818.88,820
2014-01-21T08:00:00Z,819.44,823.2,814,819.98
2014-01-21T12:00:00Z,819.98,824.99,815,824.48
2014-01-21T16:00:00Z,824.48,824.48,816,817.34
2014-01-21T20:00:00Z,817.34,824.89,815.7,824.89
2014-01-22T00:00:00Z,824.88,824.89,816.19,821.9
2014-01-22T04:00:00Z,821.9,824.99,819.36,822
2014-01-22T08:00:00Z,822,822,805.8,811.73
2014-01-22T12:00:00Z,811.72,820.19,801,811.59
2014-01-22T16:00:00Z,811.59,819,804,818.4
2014-01-22T20:00:00Z,818.16,820,812.96,819.2
2014-01-23T00:00:00Z,819.2,823.28,812,816.54
2014-01-23T04:00:00Z,816.54,822.86,812.51,817
2014-01-23T08:00:00Z,817.51,820.9,815.05,815.93
2014-01-23T12:00:00Z,815.81,815.93,804.11,808
2014-01-23T16:00:00Z,808.21,814.8,801.1,810.89
2014-01-23T20:00:00Z,810.89,818.2,806.3,809.69
2014-01-24T00:00:00Z,810.95,811.74,783,790.3
2014-01-24T04:00:00Z,790.46,797.81,767.02,770.13
2014-01-24T08:00:00Z,770.13,797,770.13,776.45
2014-01-24T12:00:00Z,776.45,797.24,774.41,787.72
2014-01-24T16:00:00Z,786.72,796.89,782,790
2014-01-24T20:00:00Z,790,792.28,777.17,779.19
2014-01-25T00:00:00Z,780,788,773.4,787.5
2014-01-25T04:00:00Z,784.13,796.19,783.25,794.65
2014-01-25T08:00:00Z,794.5,797.29,787.48,792
2014-01-25T12:00:00Z,789.22,795,786,794.67
2014-01-25T16:00:00Z,793.97,810.85,789.05,809.1
2014-01-25T20:00:00Z,809.1,817,801,806.8
2014-01-26T00:00:00Z,806.81,808.1,795.01,807.03
2014-01-26T04:00:00Z,806.65,807.93,800.31,806.95
2014-01-26T08:00:00Z,806.95,810.99,795.11,803.27
2014-01-26T12:00:00Z,803.27,834,803.04,823
2014-01-26T16:00:00Z,822.51,830,818,820
2014-01-26T20:00:00Z,818.01,822.99,812.7,814.92
2014-01-27T00:00:00Z,814.67,821.1,812,821
2014-01-27T04:00:00Z,821,823,815.6,818.01
2014-01-27T08:00:00Z,818.01,821.27,801.8,805.32
2014-01-27T12:00:00Z,805.32,819,800,811.19
2014-01-27T16:00:00Z,811.19,814.87,750,785
2014-01-27T20:00:00Z,785,787,725,749.34
2014-01-28T00:00:00Z,750.95,776,741.77,771.2
2014-01-28T04:00:00Z,771.2,771.2,740.01,766.53
2014-01-28T08:00:00Z,762.29,787,751.21,783.37
2014-01-28T12:00:00Z,783.37,809.8,779.86,795.01
2014-01-28T16:00:00Z,795.01,812.93,792.25,793.29
2014-01-28T20:00:00Z,793.29,802.97,785,785.51
2014-01-29T00:00:00Z,785.51,796.96,781.99,790.01
2014-01-29T04:00:00Z,790.01,796,784,790
2014-01-29T08:00:00Z,791.19,798.49,788.76,797.01
2014-01-29T12:00:00Z,797.01,798.5,790.52,797.95
2014-01-29T16:00:00Z,798,804.95,790.07,798.39
2014-01-29T20:00:00Z,795.8,799,789,794.18
2014-01-30T00:00:00Z,794.21,796,786.69,793.33
2014-01-30T04:00:00Z,792.62,794.99,781.1,781.24
2014-01-30T08:00:00Z,781.24,784.18,770.7,783
2014-01-30T12:00:00Z,783.39,790.98,775.02,787.95
2014-01-30T16:00:00Z,787.5,812.44,785.71,803.31
2014-01-30T20:00:00Z,803.31,803.52,797.01,799.99
2014-01-31T00:00:00Z,799.99,804.93,791.21,795
2014-01-31T04:00:00Z,795,809.8,791,800
2014-01-31T08:00:00Z,800,809.98,793,804.5
2014-01-31T12:00:00Z,804.5,807.83,795,804.97
2014-01-31T16:00:00Z,804.98,808,798.87,799.34
2014-01-31T20:00:00Z,800,804.99,798,803
2014-02-01T00:00:00Z,803,805,802.59,804.5
2014-02-01T04:00:00Z,802.9,807.2,802.9,803.04
2014-02-01T08:00:00Z,803.04,811.32,803.04,811
2014-02-01T12:00:00Z,811,827.38,810.03,819.18
2014-02-01T16:00:00Z,819.16,820,812.51,819.3
2014-02-01T20:00:00Z,818.99,823.95,809.4,813.03
2014-02-02T00:00:00Z,813.23,817.5,811.08,816.88
2014-02-02T04:00:00Z,816.88,825,815.22,824.99
2014-02-02T08:00:00Z,824.99,825.21,816.02,819.4
2014-02-02T12:00:00Z,819.4,822,816,819.45
2014-02-02T16:00:00Z,819.45,820.67,816,818.88
2014-02-02T20:00:00Z,818.87,819.69,810.23,815
2014-02-03T00:00:00Z,814.94,815,810.5,814.7
2014-02-03T04:00:00Z,814.28,814.28,800.5,802.32
2014-02-03T08:00:00Z,802.33,814,802.33,809.99
2014-02-03T12:00:00Z,809.99,811.99,803.24,810.48
2014-02-03T16:00:00Z,811.17,813.91,805.04,808.38
2014-02-03T20:00:00Z,806.77,809.92,805,808.5
2014-02-04T00:00:00Z,806.99,809.19,802.12,806.98
2014-02-04T04:00:00Z,806.39,812,800.01,808.73
2014-02-04T08:00:00Z,808.73,812.98,796.83,800
2014-02-04T12:00:00Z,800,807,799,806.39
2014-02-04T16:00:00Z,806.4,810,801.66,808.65
2014-02-04T20:00:00Z,808.65,809.94,798,802.99
2014-02-05T00:00:00Z,802,807.98,800.3,807.98
2014-02-05T04:00:00Z,807.53,808,801.02,803.82
2014-02-05T08:00:00Z,803.83,807,801.1,804.03
2014-02-05T12:00:00Z,804.03,810,801.01,805.02
2014-02-05T16:00:00Z,805.99,806.5,784.83,794.52
2014-02-05T20:00:00Z,794.52,800,775,781.8
2014-02-06T00:00:00Z,780.01,797.5,775.6,792.25
2014-02-06T04:00:00Z,792.26,793,757,772.2
2014-02-06T08:00:00Z,772.2,803,752,774
2014-02-06T12:00:00Z,774,790,773.61,782.2
2014-02-06T16:00:00Z,782.2,787.47,774.02,777.36
2014-02-06T20:00:00Z,776.82,777.37,760.21,763.06
2014-02-07T00:00:00Z,764,766.45,727.5,730
2014-02-07T04:00:00Z,730,749.99,662,694.99
2014-02-07T08:00:00Z,694.98,715,619,704.11
2014-02-07T12:00:00Z,704.11,735,691.66,715.84
2014-02-07T16:00:00Z,715.84,749.99,710.01,722.37
2014-02-07T20:00:00Z,723.88,731,705,705
2014-02-08T00:00:00Z,705.01,714.88,676.11,700.4
2014-02-08T04:00:00Z,700.4,722.37,693.01,717.33
2014-02-08T08:00:00Z,715.18,723,706.31,715
2014-02-08T12:00:00Z,715,715,700.09,704.4
2014-02-08T16:00:00Z,704.16,713.92,702.25,706.59
2014-02-08T20:00:00Z,706.59,710,662.01,674
2014-02-09T00:00:00Z,680.49,684.88,666.21,684.71
2014-02-09T04:00:00Z,684.71,695,674.12,690.9
2014-02-09T08:00:00Z,690.9,708.82,685.01,704
2014-02-09T12:00:00Z,704,755.42,691.06,698
2014-02-09T16:00:00Z,698,713,695.12,701.46
2014-02-09T20:00:00Z,701.46,705,684,687.37
2014-02-10T00:00:00Z,688,704.99,684,694.99
2014-02-10T04:00:00Z,694.99,700,684,688.49
2014-02-10T08:00:00Z,688.49,713,530,641
2014-02-10T12:00:00Z,641,689,610,681.92
2014-02-10T16:00:00Z,681.92,684.99,654.4,667.93
2014-02-10T20:00:00Z,667.93,695,664.03,687.81
2014-02-11T00:00:00Z,688.34,709.99,683.63,704.29
2014-02-11T04:00:00Z,700.33,720,693.1,706.25
2014-02-11T08:00:00Z,707.34,715,687.77,709.43
2014-02-11T12:00:00Z,709.43,710,678.51,684.6
2014-02-11T16:00:00Z,684.6,695,640.01,659.98
2014-02-11T20:00:00Z,658.33,687,631,675.1
2014-02-12T00:00:00Z,677,685.19,658,673
2014-02-12T04:00:00Z,674,683.39,631.58,659.89
2014-02-12T08:00:00Z,659.89,663.67,641,661.01
2014-02-12T12:00:00Z,661.01,665,649,660
2014-02-12T16:00:00Z,660,676,658.8,663
2014-02-12T20:00:00Z,661.32,667,650,652.72
2014-02-13T00:00:00Z,650.04,659.99,648.5,648.5
2014-02-13T04:00:00Z,648.9,660,646.5,651.07
2014-02-13T08:00:00Z,651,654.9,640.05,654
2014-02-13T12:00:00Z,654,655,642.5,649.02
2014-02-13T16:00:00Z,649.02,650,611.31,616
2014-02-13T20:00:00Z,616.23,634.3,601.54,605.46
2014-02-14T00:00:00Z,609.4,612.4,538.01,595
2014-02-14T04:00:00Z,595.24,629,560.02,585
2014-02-14T08:00:00Z,582.07,648.95,573.34,641
2014-02-14T12:00:00Z,641,687,625,673.61
2014-02-14T16:00:00Z,673.61,712.9,667.84,667.84
2014-02-14T20:00:00Z,667.8,679.8,654,669
2014-02-15T00:00:00Z,670.34,673.17,650.24,651.83
2014-02-15T04:00:00Z,651.81,662.83,628.88,646
2014-02-15T08:00:00Z,645.95,670,635.56,653.18
2014-02-15T12:00:00Z,653,660.3,645.03,657.19
2014-02-15T16:00:00Z,657.19,657.55,643,648.22
2014-02-15T20:00:00Z,648.22,673.01,635,653.8
2014-02-16T00:00:00Z,655.83,670,646.78,667.52
2014-02-16T04:00:00Z,667.52,667.57,645,648.12
2014-02-16T08:00:00Z,648.12,656.59,643.88,648.1
2014-02-16T12:00:00Z,648.1,648.11,620,625
2014-02-16T16:00:00Z,624.98,633,590.01,615
2014-02-16T20:00:00Z,616.52,637.55,591.1,619.01
2014-02-17T00:00:00Z,621,639,615.01,618.1
2014-02-17T04:00:00Z,618.1,634.15,610,631.4
