time,open,high,low,close
2011-08-15T00:00:00Z,10.9,11.85,10.9,11.7
2011-08-22T00:00:00Z,11.7,11.7,10,10
2011-08-29T00:00:00Z,8,8.89,5.25,8.89
2011-09-05T00:00:00Z,8,8.5,7.4,7.4
2011-09-12T00:00:00Z,5.8,6,4.8,4.92
2011-09-19T00:00:00Z,4.9,6.05,4.9,6.05
2011-09-26T00:00:00Z,6.06,6.06,4.8,4.82
2011-10-03T00:00:00Z,4.85,6.25,3.89,3.89
2011-10-10T00:00:00Z,3.99,4.51,3.93,4.05
2011-10-17T00:00:00Z,3.92,3.92,2.22,2.27
2011-10-24T00:00:00Z,2.99,4.4,2.66,3.5
2011-10-31T00:00:00Z,3.25,3.55,2.95,2.95
2011-11-07T00:00:00Z,3.08,3.35,2.95,3.35
2011-11-14T00:00:00Z,2.95,3,2.37,2.37
2011-11-21T00:00:00Z,2.45,15,2.25,2.77
2011-11-28T00:00:00Z,2.67,3.48,2.66,2.93
2011-12-05T00:00:00Z,2.82,3.5,2.82,3.27
2011-12-12T00:00:00Z,3.37,3.6,3.25,3.5
2011-12-19T00:00:00Z,3.5,4.75,3.5,4.27
2011-12-26T00:00:00Z,4.27,5,4.21,5
2012-01-02T00:00:00Z,5,7,4.93,7
2012-01-09T00:00:00Z,6.99,7.38,6.23,7.15
2012-01-16T00:00:00Z,6.2,7.1,5.52,6.79
2012-01-23T00:00:00Z,6.5,6.86,3.8,5.5
2012-01-30T00:00:00Z,5.3,6.5,3.8,5.6
2012-02-06T00:00:00Z,5.6,5.9,5.2,5.67
2012-02-13T00:00:00Z,5.53,5.8,4.14,4.38
2012-02-20T00:00:00Z,4.72,5.22,4.3,4.98
2012-02-27T00:00:00Z,4.97,5.1,4.6,4.81
2012-03-05T00:00:00Z,4.8,5.09,4.77,5
2012-03-12T00:00:00Z,4.85,5.44,4.85,5.25
2012-03-19T00:00:00Z,5.24,5.37,4.54,4.54
2012-03-26T00:00:00Z,4.6,4.97,4.54,4.89
2012-04-02T00:00:00Z,4.8,5.04,4.69,4.76
2012-04-09T00:00:00Z,4.7,5.01,4.7,4.99
2012-04-16T00:00:00Z,4.93,5.43,4.93,5.17
2012-04-23T00:00:00Z,5.2,5.25,4.81,4.91
2012-04-30T00:00:00Z,4.92,5.15,4.86,5.08
2012-05-07T00:00:00Z,5.05,5.08,4.87,4.94
2012-05-14T00:00:00Z,4.93,5.08,4.88,5.03
2012-05-21T00:00:00Z,5.04,5.12,5,5.07
2012-05-28T00:00:00Z,5.08,5.24,4.95,5.19
2012-06-04T00:00:00Z,5.18,5.63,5.14,5.42
2012-06-11T00:00:00Z,5.48,6.52,5.4,6.19
2012-06-18T00:00:00Z,6.13,6.69,5.98,6.4
2012-06-25T00:00:00Z,6.35,6.68,5.99,6.52
2012-07-02T00:00:00Z,6.55,6.8,6.36,6.73
2012-07-09T00:00:00Z,6.77,7.69,6.55,7.57
2012-07-16T00:00:00Z,7.57,9.2,7.14,8.42
2012-07-23T00:00:00Z,8.42,9,8.1,8.71
2012-07-30T00:00:00Z,8.7,12,8.54,10.71
2012-08-06T00:00:00Z,10.71,12.49,10.43,11.49
2012-08-13T00:00:00Z,11.42,16.41,7.1,8.06
2012-08-20T00:00:00Z,8.09,10.71,7.86,10.31
2012-08-27T00:00:00Z,10.31,11.93,9.49,10.18
2012-09-03T00:00:00Z,10.17,11.15,9.95,10.98
2012-09-10T00:00:00Z,10.85,11.8,10.38,11.75
2012-09-17T00:00:00Z,11.75,12.66,11.58,11.99
2012-09-24T00:00:00Z,11.99,12.38,11.53,12.22
2012-10-01T00:00:00Z,12.21,12.99,11.5,11.71
2012-10-08T00:00:00Z,11.7,12.26,10.42,11.79
2012-10-15T00:00:00Z,11.78,11.97,11.03,11.32
2012-10-22T00:00:00Z,11.54,11.7,9.5,10.54
2012-10-29T00:00:00Z,10.67,11.05,10.32,10.64
2012-11-05T00:00:00Z,10.63,10.87,10.25,10.82
2012-11-12T00:00:00Z,10.78,11.65,10.72,11.51
2012-11-19T00:00:00Z,11.51,12.35,11.03,12.31
2012-11-26T00:00:00Z,12.32,12.74,11.75,12.42
2012-12-03T00:00:00Z,12.46,13.59,12.32,13.29
2012-12-10T00:00:00Z,13.3,13.94,13.03,13.27
2012-12-17T00:00:00Z,13.28,13.62,12.75,13.14
2012-12-24T00:00:00Z,13.11,13.29,12.91,13.2
2012-12-31T00:00:00Z,13.2,13.29,12.77,13.15
2013-01-07T00:00:00Z,13.1,14.19,13.04,13.64
2013-01-14T00:00:00Z,13.65,15.7,13.5,15.5
2013-01-21T00:00:00Z,15.62,19.2,15.45,17.6
2013-01-28T00:00:00Z,17.6,21,17.48,20.29
2013-02-04T00:00:00Z,20.55,23.8,19.9,23.7
2013-02-11T00:00:00Z,23.74,27.58,22.42,26.98
2013-02-18T00:00:00Z,26.81,31.49,26.29,29.78
2013-02-25T00:00:00Z,29.79,34.77,29.78,34.33
2013-03-04T00:00:00Z,34.33,49.17,33,45.29
2013-03-11T00:00:00Z,45.97,48.38,36,47.24
2013-03-18T00:00:00Z,47.24,76.91,46.98,70.22
2013-03-25T00:00:00Z,70.22,97,69.25,96.15
2013-04-01T00:00:00Z,95.5,165.1,93.7,164.97
2013-04-08T00:00:00Z,164.97,259.34,45,91.11
2013-04-15T00:00:00Z,91.79,140.2,49.8,118.81
2013-04-22T00:00:00Z,118.91,170.28,116,135.28
2013-04-29T00:00:00Z,135.31,151.65,81.5,116.57
2013-05-06T00:00:00Z,116.9,123.97,98.77,114.5
2013-05-13T00:00:00Z,115.05,118.98,101.72,116.38
2013-05-20T00:00:00Z,117.27,130.29,114.03,129.5
2013-05-27T00:00:00Z,130.27,131,117.02,123
2013-06-03T00:00:00Z,123.35,125.01,90,100.17
2013-06-10T00:00:00Z,100.17,111.18,93.1,99.37
2013-06-17T00:00:00Z,98.74,108.18,90,100.41
2013-06-24T00:00:00Z,100.4,102.3,86.2,89.53
2013-07-01T00:00:00Z,89.41,90.16,63,73.96
